ID	lgth	out	in	long_cov	short1_cov	short1_Ocov	short2_cov	short2_Ocov	long_nb	short1_nb	short2_nb
1606	14	1	1	0.000000	9.000000	9.000000	0.000000	0.000000	0	0	0
1607	31	1	1	0.000000	9.548387	9.548387	0.000000	0.000000	0	0	0
1608	32	2	1	0.000000	45.281250	15.843750	0.000000	0.000000	0	0	0
1609	9	1	1	0.000000	35.111111	14.000000	0.000000	0.000000	0	0	0
1610	53	1	1	0.000000	12.754717	12.754717	0.000000	0.000000	0	0	0
1611	27	1	1	0.000000	3.777778	3.777778	0.000000	0.000000	0	0	0
1612	25	1	1	0.000000	2.560000	2.560000	0.000000	0.000000	0	0	0
1613	5	1	2	0.000000	10.600000	10.600000	0.000000	0.000000	0	0	0
1614	34	1	1	0.000000	3.000000	3.000000	0.000000	0.000000	0	0	0
1615	27	1	1	0.000000	10.148148	5.444444	0.000000	0.000000	0	0	0
1616	10	1	1	0.000000	3.200000	3.200000	0.000000	0.000000	0	0	0
1617	20	1	2	0.000000	6.900000	6.900000	0.000000	0.000000	0	0	0
1618	10	1	1	0.000000	11.000000	11.000000	0.000000	0.000000	0	0	0
1619	28	1	1	0.000000	4.071429	4.071429	0.000000	0.000000	0	0	0
1620	25	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
1621	28	1	1	0.000000	1.892857	1.892857	0.000000	0.000000	0	0	0
1622	23	1	1	0.000000	2.000000	2.000000	0.000000	0.000000	0	0	0
1623	23	1	1	0.000000	1.347826	1.347826	0.000000	0.000000	0	0	0
1624	25	1	1	0.000000	2.000000	2.000000	0.000000	0.000000	0	0	0
1625	24	1	1	0.000000	1.791667	1.791667	0.000000	0.000000	0	0	0
1626	25	1	1	0.000000	2.000000	2.000000	0.000000	0.000000	0	0	0
1627	26	1	1	0.000000	1.576923	1.576923	0.000000	0.000000	0	0	0
1628	26	1	1	0.000000	2.000000	2.000000	0.000000	0.000000	0	0	0
1629	27	1	1	0.000000	1.740741	1.740741	0.000000	0.000000	0	0	0
1630	23	1	1	0.000000	2.000000	2.000000	0.000000	0.000000	0	0	0
1631	1	2	1	0.000000	6.000000	6.000000	0.000000	0.000000	0	0	0
1632	24	1	1	0.000000	1.666667	1.666667	0.000000	0.000000	0	0	0
1633	27	1	1	0.000000	1.111111	1.111111	0.000000	0.000000	0	0	0
1634	25	1	1	0.000000	1.120000	1.120000	0.000000	0.000000	0	0	0
1635	18	2	1	0.000000	2.000000	2.000000	0.000000	0.000000	0	0	0
1636	8	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
1637	8	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
1638	30	1	1	0.000000	3.000000	3.000000	0.000000	0.000000	0	0	0
1639	28	1	1	0.000000	3.892857	3.892857	0.000000	0.000000	0	0	0
1640	27	1	1	0.000000	3.000000	3.000000	0.000000	0.000000	0	0	0
1641	28	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
1642	30	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
1643	22	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
1644	31	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
1645	28	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
1646	61	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
1647	23	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
1648	25	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
1649	26	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
