ID	lgth	out	in	long_cov	short1_cov	short1_Ocov	short2_cov	short2_Ocov	long_nb	short1_nb	short2_nb
1101	1	2	1	0.000000	22.000000	22.000000	0.000000	0.000000	0	12	0
1102	10	1	1	0.000000	12.500000	12.500000	0.000000	0.000000	0	4	0
1103	5	2	2	0.000000	27.200000	27.200000	0.000000	0.000000	0	7	0
1104	16	1	1	0.000000	12.250000	12.250000	0.000000	0.000000	0	3	0
1105	4	1	2	0.000000	16.250000	16.250000	0.000000	0.000000	0	4	0
1106	1	2	1	0.000000	15.000000	15.000000	0.000000	0.000000	0	3	0
1107	3	2	2	0.000000	26.333333	26.333333	0.000000	0.000000	0	16	0
1108	7	2	2	0.000000	27.285714	27.285714	0.000000	0.000000	0	14	0
1109	1	1	3	0.000000	190.000000	23.000000	0.000000	0.000000	0	74	0
1110	37	1	1	0.000000	9.135135	9.135135	0.000000	0.000000	0	4	0
1111	36	1	1	0.000000	13.666667	13.666667	0.000000	0.000000	0	5	0
1112	13	1	1	0.000000	10.000000	10.000000	0.000000	0.000000	0	2	0
1113	61	1	1	0.000000	12.721311	12.721311	0.000000	0.000000	0	6	0
1114	13	1	1	0.000000	13.307692	13.307692	0.000000	0.000000	0	4	0
1115	24	1	2	0.000000	22.958333	18.416667	0.000000	0.000000	0	6	0
1116	102	1	1	0.000000	12.411765	12.411765	0.000000	0.000000	0	6	0
1117	9	1	1	0.000000	92.888889	8.666667	0.000000	0.000000	0	18	0
1118	106	1	1	0.000000	25.452830	22.905660	0.000000	0.000000	0	16	0
1119	2	2	1	0.000000	21.500000	21.500000	0.000000	0.000000	0	11	0
1120	1	2	1	0.000000	25.000000	25.000000	0.000000	0.000000	0	14	0
1121	1	1	1	0.000000	14.000000	14.000000	0.000000	0.000000	0	4	0
1122	45	1	1	0.000000	15.333333	15.333333	0.000000	0.000000	0	3	0
1123	16	2	1	0.000000	32.125000	32.125000	0.000000	0.000000	0	8	0
1124	45	1	1	0.000000	9.177778	9.177778	0.000000	0.000000	0	5	0
1125	11	2	2	0.000000	19.181818	19.181818	0.000000	0.000000	0	10	0
1126	94	1	1	0.000000	12.404255	12.404255	0.000000	0.000000	0	5	0
1127	64	1	1	0.000000	15.156250	15.156250	0.000000	0.000000	0	5	0
1128	1	2	1	0.000000	20.000000	20.000000	0.000000	0.000000	0	4	0
1129	72	1	1	0.000000	11.472222	11.472222	0.000000	0.000000	0	4	0
1130	37	1	1	0.000000	4.351351	4.351351	0.000000	0.000000	0	2	0
1131	36	1	1	0.000000	3.333333	3.333333	0.000000	0.000000	0	2	0
1132	4224	1	2	0.000000	12.646307	12.643939	0.000000	0.000000	0	151	0
1133	34	1	1	0.000000	13.911765	13.911765	0.000000	0.000000	0	4	0
1134	110	1	1	0.000000	12.345455	12.345455	0.000000	0.000000	0	4	0
1135	21	1	1	0.000000	5.571429	5.571429	0.000000	0.000000	0	2	0
1136	57	1	1	0.000000	9.877193	9.877193	0.000000	0.000000	0	2	0
1137	6	2	1	0.000000	20.166667	20.166667	0.000000	0.000000	0	6	0
1138	38	1	1	0.000000	9.631579	9.631579	0.000000	0.000000	0	3	0
1139	8	2	1	0.000000	148.000000	12.625000	0.000000	0.000000	0	93	0
1140	38	1	1	0.000000	14.210526	14.210526	0.000000	0.000000	0	4	0
